Name,Game,Score,Attempts,Date
Ana,Supervised,30,31.0,2025-07-12 19:16:52
Ritesh,Unsupervised,1,30.0,2025-07-12 20:38
Ritesh,Unsupervised,1,30.0,2025-07-12 20:46
Deba,Supervised,30,31.0,2025-07-12 20:50:02
Mr.Roy,Supervised,30,31.0,2025-07-12 21:11:08
Debarun,Supervised,30,31.0,2025-07-12 21:24:21
Abcd,Supervised,30,1.0,2025-07-12 21:30:13
Mini,Supervised,3,20.0,2025-07-12 22:43:13
BBB,Supervised,1,30.0,2025-07-12 22:45:21
ccc,Supervised,30,1.0,2025-07-12 23:09:17
owk,Unsupervised,1,30.0,2025-07-12 23:12
owk,Supervised,1,30.0,2025-07-12 23:16:19
dfr,Unsupervised,0,30.0,2025-07-12 23:18
dfr,Unsupervised,0,30.0,2025-07-12 23:20
dfr,Unsupervised,0,30.0,2025-07-12 23:24
Ana,Supervised,30,,
cksh,Supervised,30,,
user,Supervised,30,1.0,2025-07-12 23:36:58
user,Unsupervised,30,0.0,2025-07-12 23:38
user,Unsupervised,30,0.0,2025-07-12 23:54
user,Unsupervised,30,0.0,2025-07-12 23:54
user,Unsupervised,30,0.0,2025-07-13 00:12
user,Unsupervised,30,0.0,2025-07-13 00:14
uyu,Supervised,30,1.0,2025-07-13 00:16:07
dito,Supervised,30,1.0,2025-07-13 11:04:21
dito,Unsupervised,30,1.0,2025-07-13 11:33
payel,Unsupervised,0,2.0,2025-07-13 11:37
Raja,Unsupervised,0,1.0,2025-07-13 11:50
Mr.Roy,Supervised,30,1.0,2025-07-13 15:00:21
Kolkata,Unsupervised,0,10.0,2025-07-13 16:39
Basu,Unsupervised,0,4.0,2025-07-13 20:22
Mr.Roy,Unsupervised,0,6.0,2025-08-02 18:35
46,Unsupervised,0,4.0,2025-07-13 20:34
Abhi,Unsupervised,0,4.0,2025-07-13 20:48
Ana,Unsupervised,0,1.0,2025-07-15 18:05
Anangsha,Supervised,30,1.0,2025-07-15 18:30:17
Ana,Supervised,25,2.0,2025-08-02 13:21:28
Raj,Unsupervised,0,3.0,2025-08-02 18:16
Ana,Supervised,30,1,2025-08-02 18:40:47
